second,Volt,Volt.1
-0.00374365,-5.185929753,1.567839228
-0.00373865,-5.185929753,1.688442245
-0.00373365,-5.185929753,1.688442245
-0.00372865,-5.185929753,1.748743754
-0.00372365,-5.178392064,1.801507574
-0.00371865,-5.185929753,1.688442245
-0.00371365,-5.178392064,2.042713609
-0.00370865,-5.118090556,1.861809083
-0.00370365,-5.185929753,1.92964828
-0.00369865,-5.125628244,1.92964828
-0.00369365,-5.178392064,1.809045263
-0.00368865,-5.185929753,1.9824121
-0.00368365,-5.178392064,1.92964828
-0.00367865,-5.065326735,2.057788986
-0.00367365,-5.185929753,2.170854315
-0.00366865,-5.065326735,2.231155824
-0.00366365,-5.065326735,2.163316627
-0.00365865,-5.185929753,2.103015118
-0.00365365,-5.065326735,2.163316627
-0.00364865,-5.185929753,2.231155824
-0.00364365,-5.065326735,2.170854315
-0.00363865,-5.118090556,2.291457333
-0.00363365,-5.178392064,2.291457333
-0.00362865,-5.125628244,2.351758841
-0.00362365,-5.185929753,2.291457333
-0.00361865,-5.185929753,2.351758841
-0.00361365,-5.185929753,2.41206035
-0.00360865,-5.246231262,2.291457333
-0.00360365,-5.178392064,2.525125679
-0.00359865,-5.118090556,2.472361859
-0.00359365,-5.291457393,2.404522662
-0.00358865,-5.185929753,2.41206035
-0.00358365,-5.072864424,2.653266385
-0.00357865,-5.065326735,2.532663368
-0.00357365,-5.065326735,2.532663368
-0.00356865,-5.125628244,2.592964876
-0.00356365,-5.065326735,2.653266385
-0.00355865,-5.185929753,2.653266385
-0.00355365,-5.185929753,2.653266385
-0.00354865,-5.193467441,2.773869403
-0.00354365,-5.298995082,2.653266385
-0.00353865,-5.246231262,2.773869403
-0.00353365,-5.185929753,2.653266385
-0.00352865,-5.185929753,2.773869403
-0.00352365,-5.185929753,2.773869403
-0.00351865,-5.125628244,2.826633223
-0.00351365,-5.178392064,2.773869403
-0.00350865,-5.246231262,2.94723624
-0.00350365,-5.185929753,3.120603078
-0.00349865,-5.065326735,2.89447242
-0.00349365,-5.185929753,3.015075438
-0.00348865,-5.125628244,3.135678455
-0.00348365,-5.178392064,3.128140767
-0.00347865,-5.185929753,3.075376946
-0.00347365,-5.170854376,3.135678455
-0.00346865,-5.170854376,3.263819161
-0.00346365,-5.185929753,3.248743784
-0.00345865,-5.185929753,3.195979964
-0.00345365,-5.178392064,3.248743784
-0.00344865,-5.065326735,3.263819161
-0.00344365,-5.178392064,3.369346802
-0.00343865,-5.125628244,3.256281473
-0.00343365,-5.298995082,3.369346802
-0.00342865,-5.118090556,3.316582981
-0.00342365,-5.065326735,3.369346802
-0.00341865,-5.125628244,3.316582981
-0.00341365,-5.178392064,3.369346802
-0.00340865,-5.185929753,3.37688449
-0.00340365,-5.185929753,3.37688449
-0.00339865,-5.118090556,3.42964831
-0.00339365,-5.185929753,3.37688449
-0.00338865,-5.185929753,3.497487508
-0.00338365,-5.178392064,3.497487508
-0.00337865,-5.238693573,3.618090525
-0.00337365,-5.065326735,3.497487508
-0.00336865,-5.185929753,3.618090525
-0.00336365,-5.065326735,3.618090525
-0.00335865,-5.170854376,3.618090525
-0.00335365,-5.185929753,3.738693543
-0.00334865,-5.065326735,3.738693543
-0.00334365,-5.065326735,3.851758872
-0.00333865,-5.065326735,3.85929656
-0.00333365,-5.178392064,3.85929656
-0.00332865,-5.185929753,3.738693543
-0.00332365,-5.185929753,3.738693543
-0.00331865,-5.065326735,3.798995052
-0.00331365,-5.065326735,3.85929656
-0.00330865,-5.185929753,3.85929656
-0.00330365,-5.185929753,3.85929656
-0.00329865,-5.185929753,3.964824201
-0.00329365,-5.185929753,4.100502595
-0.00328865,-5.118090556,4.040201087
-0.00328365,-5.185929753,4.092964907
-0.00327865,-5.185929753,4.032663398
-0.00327365,-5.072864424,4.213567924
-0.00326865,-5.193467441,4.100502595
-0.00326365,-5.178392064,4.100502595
