second,Volt
-0.00029065,14.65495011
-0.00028965,14.81173404
-0.00028865,14.91625665
-0.00028765,15.07304057
-0.00028665,15.07304057
-0.00028565,15.2298245
-0.00028465,15.33434711
-0.00028365,15.49113104
-0.00028265,15.569523
-0.00028165,15.64791496
-0.00028065,15.9092215
-0.00027965,15.98761346
-0.00027865,16.17052804
-0.00027765,16.17052804
-0.00027665,16.17052804
-0.00027565,16.06600542
-0.00027465,16.40570392
-0.00027365,16.40570392
-0.00027265,16.06600542
-0.00027165,16.32731196
-0.00027065,16.32731196
-0.00026965,16.40570392
-0.00026865,16.32731196
-0.00026765,16.74540243
-0.00026665,16.74540243
-0.00026565,16.5886185
-0.00026465,16.5886185
-0.00026365,16.5886185
-0.00026265,16.5886185
-0.00026165,16.40570392
-0.00026065,16.82379439
-0.00025965,16.82379439
-0.00025865,16.17052804
-0.00025765,16.74540243
-0.00025665,16.5886185
-0.00025565,16.17052804
-0.00025465,15.9092215
-0.00025365,16.32731196
-0.00025265,15.9092215
-0.00025165,16.5886185
-0.00025065,16.40570392
-0.00024965,16.17052804
-0.00024865,17.84288989
-0.00024765,21.50118144
-0.00024665,23.2780659
-0.00024565,19.67203566
-0.00024465,15.98761346
-0.00024365,16.17052804
-0.00024265,15.569523
-0.00024165,15.75243758
-0.00024065,15.49113104
-0.00023965,15.33434711
-0.00023865,15.569523
-0.00023765,15.569523
-0.00023665,15.07304057
-0.00023565,15.15143254
-0.00023465,14.65495011
-0.00023365,14.81173404
-0.00023265,14.73334207
-0.00023165,14.73334207
-0.00023065,14.49816619
-0.00022965,14.08007573
-0.00022865,14.08007573
-0.00022765,13.66198526
-0.00022665,13.40067872
-0.00022565,13.66198526
-0.00022465,13.47907069
-0.00022365,13.2438948
-0.00022265,13.06098022
-0.00022165,12.82580434
-0.00022065,12.40771388
-0.00021965,12.64288976
-0.00021865,11.98962341
-0.00021765,11.72831687
-0.00021665,11.80670884
-0.00021565,12.06801537
-0.00021465,11.15344249
-0.00021365,11.15344249
-0.00021265,10.89213595
-0.00021165,11.15344249
-0.00021065,10.73535202
-0.00020965,10.89213595
-0.00020865,10.55243745
-0.00020765,10.31726156
-0.00020665,10.13434698
-0.00020565,9.8991711
-0.00020465,10.13434698
-0.00020365,9.2197741
-0.00020265,9.63786456
-0.00020165,9.48108064
-0.00020065,9.06299017
-0.00019965,8.8800756
-0.00019865,8.64489971
-0.00019765,8.8800756
-0.00019665,8.38359317
-0.00019565,8.46198513
-0.00019465,8.38359317
-0.00019365,7.80871879
-0.00019265,7.62580421
-0.00019165,7.80871879
-0.00019065,7.54741225
-0.00018965,7.54741225
-0.00018865,6.97253786
-0.00018765,6.97253786
-0.00018665,6.97253786
-0.00018565,6.97253786
-0.00018465,6.71123132
-0.00018365,6.5544474
-0.00018265,6.37153282
-0.00018165,6.13635693
-0.00018065,6.2147489
-0.00017965,5.71826647
-0.00017865,5.71826647
-0.00017765,5.71826647
-0.00017665,5.37856797
-0.00017565,5.19565339
-0.00017465,5.11726143
-0.00017365,5.30017601
-0.00017265,5.30017601
-0.00017165,4.69917097
-0.00017065,4.46399508
-0.00016965,4.20268854
-0.00016865,4.20268854
-0.00016765,4.04590462
-0.00016665,3.78459808
-0.00016565,3.36650762
-0.00016465,3.36650762
-0.00016365,3.2097237
-0.00016265,3.44489958
-0.00016165,2.94841716
-0.00016065,3.02680912
-0.00015965,2.79163323
-0.00015865,2.53032669
-0.00015765,2.60871866
-0.00015665,1.95545231
-0.00015565,1.69414577
-0.00015465,1.95545231
-0.00015365,1.77253773
-0.00015265,1.53736185
-0.00015165,1.53736185
-0.00015065,1.85092969
-0.00014965,1.11927138
-0.00014865,1.11927138
-0.00014765,0.85796484
-0.00014665,1.11927138
-0.00014565,0.70118092
-0.00014465,0.70118092
-0.00014365,0.28309046
-0.00014265,0.10017588
-0.00014165,0.28309046
-0.00014065,-0.13500001
-0.00013965,-0.05660804
-0.00013865,-0.29178393
-0.00013765,-0.63148243
-0.00013665,-0.97118093
-0.00013565,-0.97118093
-0.00013465,-1.12796485
-0.00013365,-0.78826635
-0.00013265,-1.38927139
-0.00013165,-1.38927139
-0.00013065,-1.38927139
-0.00012965,-1.80736186
-0.00012865,-1.96414578
-0.00012765,-2.22545232
-0.00012665,-2.22545232
-0.00012565,-2.22545232
-0.00012465,-2.64354278
-0.00012365,-2.64354278
-0.00012265,-2.4606282
-0.00012165,-3.06163324
-0.00012065,-3.06163324
-0.00011965,-3.06163324
-0.00011865,-3.55811567
-0.00011765,-3.21841717
-0.00011665,-3.63650763
-0.00011565,-3.37520109
-0.00011465,-3.47972371
-0.00011365,-3.47972371
-0.00011265,-4.05459809
-0.00011165,-4.55108052
-0.00011065,-4.47268856
-0.00010965,-4.73399509
-0.00010865,-4.31590463
-0.00010765,-4.47268856
-0.00010665,-4.73399509
-0.00010565,-5.15208556
-0.00010465,-5.30886948
-0.00010365,-5.38726144
-0.00010265,-5.57017602
-0.00010165,-5.30886948
-0.00010065,-5.57017602
